Trace,Exp,Core_0_IPC,Filter
437.leslie3d-232B,mlop_MTPS4800,1.00698,1
437.leslie3d-232B,pythia_MTPS4800,1.09915,1
437.leslie3d-232B,nopref_MTPS9600,0.59236,1
437.leslie3d-232B,spp_MTPS9600,1.05425,1
437.leslie3d-232B,bingo_MTPS9600,1.0425,1
437.leslie3d-232B,mlop_MTPS9600,1.0071,1
437.leslie3d-232B,pythia_MTPS9600,1.0996,1
437.leslie3d-265B,nopref,0.62022,1
437.leslie3d-265B,spp,1.06506,1
437.leslie3d-265B,bingo,1.0471,1
437.leslie3d-265B,mlop,1.00782,1
437.leslie3d-265B,pythia,1.11705,1
437.leslie3d-265B,nopref_MTPS150,0.45356,1
437.leslie3d-265B,spp_MTPS150,0.51786,1
437.leslie3d-265B,bingo_MTPS150,0.50823,1
437.leslie3d-265B,mlop_MTPS150,0.52082,1
437.leslie3d-265B,pythia_MTPS150,0.5471,1
437.leslie3d-265B,nopref_MTPS300,0.57984,1
437.leslie3d-265B,spp_MTPS300,0.8513,1
437.leslie3d-265B,bingo_MTPS300,0.78235,1
437.leslie3d-265B,mlop_MTPS300,0.81532,1
437.leslie3d-265B,pythia_MTPS300,0.89797,1
437.leslie3d-265B,nopref_MTPS600,0.61371,1
437.leslie3d-265B,spp_MTPS600,1.02275,1
437.leslie3d-265B,bingo_MTPS600,0.94522,1
437.leslie3d-265B,mlop_MTPS600,0.95849,1
437.leslie3d-265B,pythia_MTPS600,1.0716,1
437.leslie3d-265B,nopref_MTPS1200,0.61852,1
437.leslie3d-265B,spp_MTPS1200,1.05881,1
437.leslie3d-265B,bingo_MTPS1200,1.01707,1
437.leslie3d-265B,mlop_MTPS1200,0.99755,1
437.leslie3d-265B,pythia_MTPS1200,1.11001,1
437.leslie3d-265B,nopref_MTPS4800,0.62116,1
437.leslie3d-265B,spp_MTPS4800,1.06607,1
437.leslie3d-265B,bingo_MTPS4800,1.05847,1
437.leslie3d-265B,mlop_MTPS4800,1.01038,1
437.leslie3d-265B,pythia_MTPS4800,1.11879,1
437.leslie3d-265B,nopref_MTPS9600,0.62153,1
437.leslie3d-265B,spp_MTPS9600,1.06644,1
437.leslie3d-265B,bingo_MTPS9600,1.05875,1
437.leslie3d-265B,mlop_MTPS9600,1.0106,1
437.leslie3d-265B,pythia_MTPS9600,1.11918,1
437.leslie3d-271B,nopref,0.60162,1
437.leslie3d-271B,spp,1.07741,1
437.leslie3d-271B,bingo,1.05627,1
437.leslie3d-271B,mlop,1.00674,1
437.leslie3d-271B,pythia,1.12713,1
437.leslie3d-271B,nopref_MTPS150,0.45998,1
437.leslie3d-271B,spp_MTPS150,0.52754,1
437.leslie3d-271B,bingo_MTPS150,0.51291,1
437.leslie3d-271B,mlop_MTPS150,0.5439,1
437.leslie3d-271B,pythia_MTPS150,0.55954,1
437.leslie3d-271B,nopref_MTPS300,0.57349,1
437.leslie3d-271B,spp_MTPS300,0.87592,1
437.leslie3d-271B,bingo_MTPS300,0.78914,1
437.leslie3d-271B,mlop_MTPS300,0.84369,1
437.leslie3d-271B,pythia_MTPS300,0.92392,1
437.leslie3d-271B,nopref_MTPS600,0.59852,1
437.leslie3d-271B,spp_MTPS600,1.04229,1
437.leslie3d-271B,bingo_MTPS600,0.94982,1
437.leslie3d-271B,mlop_MTPS600,0.96727,1
437.leslie3d-271B,pythia_MTPS600,1.08911,1
437.leslie3d-271B,nopref_MTPS1200,0.60098,1
