Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Filter
627.cam4_s-573B_4T,pythia,0,0,0,0,0
628.pop2_s-17B_4T,nopref,0,0,0,0,0
628.pop2_s-17B_4T,spp,0,0,0,0,0
628.pop2_s-17B_4T,bingo,0,0,0,0,0
628.pop2_s-17B_4T,mlop,0,0,0,0,0
628.pop2_s-17B_4T,pythia,0,0,0,0,0
649.fotonik3d_s-10881B_4T,nopref,0,0,0,0,0
649.fotonik3d_s-10881B_4T,spp,0,0,0,0,0
649.fotonik3d_s-10881B_4T,bingo,0,0,0,0,0
649.fotonik3d_s-10881B_4T,mlop,0,0,0,0,0
649.fotonik3d_s-10881B_4T,pythia,0,0,0,0,0
654.roms_s-1007B_4T,nopref,0,0,0,0,0
654.roms_s-1007B_4T,spp,0,0,0,0,0
654.roms_s-1007B_4T,bingo,0,0,0,0,0
654.roms_s-1007B_4T,mlop,0,0,0,0,0
654.roms_s-1007B_4T,pythia,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,nopref,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,spp,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,bingo,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,mlop,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M_4T,pythia,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,spp,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,nopref,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,spp,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,bingo,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,mlop,0,0,0,0,0
ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_500M.length_250M_4T,pythia,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,nopref,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,spp,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,bingo,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,mlop,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_1750M.length_250M_4T,pythia,0,0,0,0,0
ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_4000M.length_250M_4T,nopref,0,0,0,0,0
